NAME:,test2,,
EXPERIMENT TIME:,22-05-22 16:54,,
Activity,Walking,,
COUNT OF ACTUAL STEPS,85,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-0.47,8.12,3.37
0.042,0,9.96,3.45
0.086,0.31,10.79,3.02
0.129,0.47,9.81,5.22
0.173,2.24,11.53,4.63
0.216,2.67,17.22,2.67
0.26,-0.35,9.73,2.71
0.306,-2.31,11.06,-3.61
0.35,0.71,10.59,0.63
0.392,0.16,8,0.16
0.437,-0.27,7.53,-0.67
0.481,-1.06,8.32,0.75
0.525,-1.06,8.79,0.86
0.568,-0.86,8.16,1.37
0.612,-1.88,7.41,1.92
0.656,-1.37,7.85,2.59
0.701,-1.65,11.18,2.79
0.746,-3.37,12.55,2.9
0.79,-2.43,10.55,5.45
0.835,-6.28,13.93,3.88
0.881,-4.67,15.46,-1.84
0.925,0.59,6.94,-1.14
0.969,-0.51,13.85,0.55
1.014,-1.69,8.59,-0.47
1.058,-2.71,7.45,0.31
1.101,0.35,7.92,0.31
1.143,0.16,7.22,0.78
1.187,-0.98,6.67,1.06
1.231,-0.27,6.51,2.16
1.274,0.27,8.59,3.57
1.318,-0.78,11.57,3.22
1.363,-0.78,12.4,6.9
1.407,1.84,14.51,3.61
1.451,2.94,16,0
1.496,-2.08,5.18,-3.49
1.539,0.75,16.71,3.1
1.583,-0.82,7.96,0.16
1.627,2.47,6.08,-1.49
1.669,0.08,8.9,0.67
1.713,-1.37,8,1.41
1.757,-2.08,6.9,1.8
1.801,-2.59,8.08,1.69
1.844,-1.37,9.1,2.9
1.889,-2.9,11.85,2.79
1.934,-3.84,12.4,4.86
1.979,-3.22,12.24,4.98
2.025,-5.26,16.83,-0.27
2.068,3.69,9.38,-4.98
2.113,-4.12,11.38,1.37
2.157,1.29,11.3,0.51
2.202,-1.57,7.41,-1.69
2.246,-1.33,6.24,1.29
2.288,0.08,7.18,0.2
2.332,-0.78,7.06,1.14
2.375,0.04,5.57,2.55
2.418,-0.16,7.88,3.61
2.462,0.27,10.9,3.49
2.506,2.71,14.36,8.47
2.551,-0.16,12.55,5.1
2.596,0.55,14.36,-0.78
2.64,-0.71,8,-5.49
2.685,-1.77,14.4,1.41
2.729,0.55,7.22,-0.47
2.773,2.39,5.69,-1.02
2.816,-1.77,8.47,0.39
2.86,-1.77,7.92,1.57
2.904,-3.06,6.63,1.45483524
3.351,-2.47,6.67,-0.67
3.394,2.04,7.49,-0.67
3.437,0.86,8.79,0.31
3.48,0.04,7.92,1.33
3.524,-1.33,7.96,2.2
3.566,0.94,8.12,3.02
3.61,-0.27,9.06,2.98
3.654,0.9,11.61,5.33
3.698,-0.12,8.75,5.18
3.741,3.1,20.01,0.71
3.786,-2.98,6.43,-1.69
3.831,-0.67,11.18,1.06
3.877,-1.22,10.83,-0.43
3.921,1.18,6.9,-0.94
3.964,0.04,7.88,-0.63
4.009,-1.92,9.02,-0.16
4.053,-2.55,8.79,1.26
4.097,-0.98,8.79,1.69
4.14,-0.98,8.59,1.73
4.184,-2.31,9.02,2.24
4.229,-2.08,10.94,2.82
4.274,-2.12,11.77,3.41
4.317,-2.31,9.96,4.63
4.362,-4.98,12.51,2.82
4.408,-5.37,15.18,-1.37
4.452,1.53,9.18,-4.16
4.496,0.39,12.87,1.29
4.54,-1.45,9.06,-1.65
4.585,-2.12,7.69,-0.31
4.629,0.63,7.61,-0.35
4.672,0.2,8.24,0.2
4.716,-0.31,10.04,1.77
4.76,-1.14,8.55,2.04
4.803,0.2,7.57,1.96
4.846,0.55,8.39,2.79
4.89,-0.16,10.36,3.02
4.935,-0.31,11.22,5.18
4.98,-0.31,10,5.3
5.024,2.9,17.26,2.39
5.067,0.2,9.14,-2.63
5.112,-2.08,7.77,-2.71
5.156,0.08,14.67,1.18
5.2,1.84,6.59,-0.78
5.243,0.55,8.04,-0.86
5.287,-0.9,9.61,0.47
5.331,-1.53,8.83,1.57
5.375,-1.84,8.28,1.49
5.418,-0.98,9.06,1.77
5.462,-1.53,8.51,2.24
5.506,-2.24,9.34,2
5.551,-2.31,11.45,2.98
5.596,-2.59,10.4,3.77
5.64,-4.31,11.53,4.08
5.685,-4.9,15.18,0.63
5.729,2.47,9.96,-2.35
5.774,-0.55,10.67,0.04
5.818,-0.35,12.16,0.16
5.863,-0.94,9.18,-0.75
5.908,-0.47,8.43,-0.51
5.951,0.39,7.96,0.16
5.994,-0.16,7.57,0.35
6.038,-0.63,8.67,1.26
6.082,-0.86,7.88,2.59
6.125,0,8.28,3.22
6.167,1.1,8.87,2.16
6.212,-0.78,11.65,3.88
6.256,-0.86,9.34,6
6.299,0.9,9.57,5.22
6.342,3.73,16.32,2.94
6.388,-0.43,10.12,-0.71
6.433,-0.67,5.14,-3.73
6.477,0.59,14.04,0.75
6.521,1.69,6.79,-0.27
6.564,1.96,8.55,-0.31
6.608,-1.73,9.57,1.29
6.652,-0.55,8.2,1.49
6.696,-1.02,8.39,1.53
6.739,-1.18,9.45,2.12
6.783,-1.18,8,2.16
6.827,-2.16,9.1,1.92
6.872,-2.31,10.2,2.35
6.916,-3.33,11.34,3.37
6.961,-3.88,10.59,4.82
7.006,-5.06,15.1,0.78
7.052,-0.24,13.38,-0.35
7.097,-1.02,9.45,-2.16
7.14,2.47,13.73,0.12
7.185,-2.16,8.24,-0.67
7.23,-0.31,9.18,-0.24
7.274,0.24,7.85,-0.2
7.316,0.12,8.16,0.2
7.36,-0.75,9.53,0.98
7.404,-0.94,8.43,1.77
7.447,0.31,7.73,1.96
7.489,0.63,8.36,2.63
7.534,-0.94,10.32,3.14
7.579,-1.14,11.38,5.3
7.623,-1.53,7.85,5.73
7.666,2.39,14.44,3.45
7.711,4.43,18.63,-3.06
7.756,-2.75,4.43,-2
7.801,-0.2,15.3,0.24
7.844,0.24,8.94,-0.2
7.888,2.67,6.75,-1.29
7.932,-1.77,9.26,0.27
7.976,-2.51,9.26,1.02
8.019,-1.77,8.75,1.49
8.063,-1.1,8.98,1.33
8.107,-2.12,8.08,1.77
8.151,-1.96,8.87,2.31
8.196,-2.04,10.75,2.55
8.24,-2.59,10.71,3.41
8.284,-2.35,9.61,4.82
8.329,-5.84,12.55,3.49
8.374,-2.75,14.51,0.39
8.418,-0.24,9.53,-2.67489038
8.855,0.16,9.77,2.82
8.899,0.08,12,4.67
8.941,0.2,9.45,5.26
8.985,2.63,18.91,1.14
9.03,-1.26,10.24,0.27
9.076,-2.28,11.81,-3.22
9.121,-0.51,12.4,0.24
9.164,2.24,7.45,-0.39
9.209,-0.24,7.96,-0.27
9.253,-1.06,9.69,0.43
9.297,-1.41,9.02,1.29
9.34,-1.96,8.79,1.73
9.384,-1.14,9.02,1.49
9.428,-1.96,8.2,1.77
9.472,-1.77,9.18,1.02
9.516,-2.43,10.71,3.18
9.561,-2.2,10.55,3.41490181
9.65,-5.81,12.67,1.65
9.694,-1.8,15.02,0.39
9.739,-0.98,9.41,-2.39
9.783,1.22,14.24,0.2
9.828,-1.88,9.06,-0.82
9.873,-0.63,9.85,-0.43
9.915,0.24,8.2,0.16
9.959,0.63,8.04,-0.04
10.003,-1.22,8.47,0.67
10.047,-0.31,8.12,2
10.09,-0.35,7.77,1.84
10.133,0.08,8.24,2.86
10.177,0.55,10.28,2.59
10.221,-0.67,9.81,2.94
10.264,-1.33,8.63,5.26
10.308,-0.27,9.26,6.28
10.352,4,15.57,2.82
10.396,2.12,16,0.55
10.44,-0.04,4.51,-2.2
10.485,-3.88,13.89,0.39
10.529,1.26,9.38,-0.31
10.573,3.61,8.83,-0.2
10.616,-2.55,8.43,0.55
10.66,-0.63,8.32,0.67
10.704,-1.26,9.49,1.14
10.748,-1.22,9.77,2.12
10.791,-1.49,8.79,1.96
10.835,-1.88,7.88,1.65
