NAME: ,team10 run3,,
EXPERIMENT TIME: ,Mon May 23 14:23:08 GMT+03:00 2022,,
ACTIVITY TYPE: ,Run,,
COUNT OF ACTUAL STEPS: ,137,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,0.8,10.1,-3.37
0.1,0.92,9.87,-4.59
0.2,0.88,10.14,-4.51
0.3,0.04,10.71,-8.8
0.4,3.4,9.52,-8.15
0.5,2.87,7.73,-6.54
0.6,1.68,3.37,-5.58
0.7,1.99,6.96,-4.09
0.8,-0.61,6.31,-2.22
0.9,-2.75,13.23,-5.2
1,2.75,4.97,-3.6
1.1,0.88,0.11,-1.68
1.2,6.04,19.35,-3.52
1.3,0.08,16.79,-6.96
1.4,-2.22,0.19,-2.6
1.5,0.15,-1.11,0.96
1.6,-7.57,14.19,-4.02
1.7,5.09,19.51,-7.27
1.8,-0.88,9.33,-3.75
1.9,-0.65,2.03,-0.61
2,-3.33,19.51,7.88
2.1,1.22,19.31,-6.54
2.2,-0.92,0.61,-0.15
2.3,2.14,-5.28,1.11
2.4,8.07,14.15,-13.39
2.5,3.37,15.3,-7.15
2.6,-1.45,6.96,-1.91
2.7,0.96,2.45,-1.42
2.8,-0.88,9.14,3.9
2.9,4.55,18.36,-1.49
3,-0.11,5.01,-2.79
3.1,-1.84,-3.17,-4.51
3.2,7.57,12.01,-9.37
3.3,3.6,16.14,-4.25
3.4,-1.38,4.28,-1.38
3.5,0.73,0.73,2.26
3.6,-1.57,9.03,3.63
3.7,4.74,19.24,-1.42
3.8,3.33,12.32,-5.89
3.9,-4.36,-0.23,-0.73
4,-0.38,-1.03,-3.86
4.1,-12.58,10.94,-3.9
4.2,-3.6,19.2,-6.27
4.3,-0.73,3.6,-0.8
4.4,-1.03,1.72,-2.72
4.5,10.48,19.51,-7.11
4.6,7.38,17.44,-6.58
4.7,-4.32,0.34,-2.03
4.8,3.44,2.26,-4.59
4.9,-7.69,4.67,-5.3575163
5.4,6.88,19.51,-5.7075168
5.7,6.5,13.88,-4.9075171
6,0.92,3.52,1.72
6.1,-1.72,-0.31,-1.03
6.2,4.51,19.51,-7.08
6.3,4.05,16.22,-8.53
6.4,13.16,-19.51,-19.51
6.5,-1.22,3.9,1.22
6.6,-5.05,8.11,-2.87
6.7,-6.08,19.51,-5.62
6.8,1.26,4.13,-2.98
6.9,-0.65,1.26,-2.79
7,3.37,16.37,1.87
7.1,-0.46,17.4,-7.76
7.2,-0.92,3.25,-5.93
7.3,1.64,-2.52,-3.1
7.4,3.48,19.51,-8.22
7.5,3.98,18.13,-5.47
7.6,-0.84,7.96,-3.4
7.7,0,2.03,0
7.8,-0.8,19.51,6.23
7.9,0,17.33,-4.55
8,1.07,4.36,-5.12
8.1,-0.5,-3.82,-0.96
8.2,12.16,9.98,-9.06
8.3,3.82,18.4,-5.28
8.4,-3.06,11.55,-4.21
8.5,-0.5,1.76,-2.14
8.6,-3.82,3.44,0.84
8.7,4.21,18.47,1.15
8.8,2.07,13.31,-6.08
8.9,-0.5,-3.44,-3.67
9,4.9,4.28,3.67
9.1,-2.49,11.28,-2.1
