NAME: ,run_4_2,,
EXPERIMENT TIME: ,Mon May 23 21:03:02 GMT+03:00 2022,,
ACTIVITY TYPE: ,Walk,,
COUNT OF ACTUAL STEPS: ,148,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,3.86,-8.8,0.11
0.1,4.13,-8.99,0.99
0.2,3.75,-8.15,1.387709
0.9,2.03,-12.51,0.57
1,2.29,-17.17,1.72
1.1,2.45,-4.78,9.03
1.2,-0.5,-1.45,1.53
1.3,17.29,-15.6,4.44
1.4,0.15,-10.25,6.73
1.5,2.49,2.68,-0.34
1.6,2.1,-6.65,0.19
1.7,3.44,-11.47,-5.35
1.8,8.61,-19.51,4.44
1.9,-1.19,-6.16,6.54
2,1.11,-0.69,0.46
2.1,14.19,-19.51,7.34
2.2,2.03,-8.45,7
2.3,0.69,7.3,-2.26
2.4,-2.98,-7.08,11.01
2.5,-1.45,-5.58,-11.55
2.6,4.02,-19.51,3.56
2.7,-1.45,-5.01,3.29
2.8,1.53,-2.03,-0.04
2.9,14.53,-15.07,3.94
3,6.92,-4.97,3.21
3.1,0.34,4.25,-0.42
3.2,3.56,-3.71,-1.38
3.3,6.23,-19.51,5.47
3.4,-0.76,-17.9,6.92
3.5,-2.07,-1.03,0.99
3.6,2.41,-8.91,-1.8
3.7,14.88,-16.33,4.82
3.8,5.97,-5.51,0.34
3.9,1.15,1.53,-7.15
4,2.64,0.46,-1.57
4.1,1.95,-9.22,1.42
4.2,4.59,-17.55,7.27
4.3,-2.98,-2.87,2.52
4.4,4.32,-5.43,-0.08
4.5,8.57,-19.51,3.67
4.6,6.85,0.46,0.08
4.7,1.22,1.61,-5.24
4.8,7.46,2.22,5.93
4.9,16.1,-14.69,10.1
5,2.94,-13.39,6.04
5.1,-1.64,-0.88,0.61
5.2,4.59,-9.87,-3.33
5.3,4.93,-18.55,0.15
5.4,5.01,0.76,-0.57
5.5,1.3,-3.37,-3.79
5.6,11.17,-19.05,19.51
5.7,16.9,-18.24,3.63
5.8,1.53,-13.88,5.78
5.9,-3.1,-2.56,0.42
6,8.83,-10.94,-1.227767
6.6,4.51,-11.74,10.06
6.7,-3.21,-1.8,1.64
6.8,3.98,-6.69,0.38
6.9,2.91,-19.51,0.38
7,3.67,0.27,1.45
7.1,-0.38,-1.15,-7.3
7.2,16.83,-10.98,5.39
7.3,17.55,-19.51,12.05
7.4,0.8,-13.58,5.66
7.5,-0.34,-0.11,-0.42
7.6,5.24,-13.27,-0.04
7.7,2.83,-19.51,1.8
7.8,3.25,1.57,-1.11
7.9,1.84,-6.12,-2.68
8,12.77,-15.3,2.64
8.1,13.73,-19.51,0.84
8.2,2.72,-8.11,3.98
8.3,-1.03,-2.22,1.3
8.4,2.91,-16.22,1.38
8.5,2.83,-19.51,4.25
8.6,2.45,5.24,1.22
8.7,3.14,-5.93,-0.65
8.8,12.51,-5.43,8.95
8.9,16.64,-19.51,-5.16
9,5.43,-10.48,6.46
9.1,-1.3,-1.15,0.92
9.2,4.67,-11.32,-3.86
9.3,8.72,-19.47,3.25
9.4,4.67,0.73,0.23
9.5,2.1,1.34,-5.47
9.6,7.27,-9.26,4.93
9.7,12.7,-17.52,8.76
9.8,4.82,-13.77,3.82
9.9,-1.99,-1.42,0.84
10,1.49,-6.46,-3.56
10.1,8.26,-13.85,2.45
10.2,4.78,1.38,-0.92
10.3,1.11,-1.34,-5.89
10.4,6.2,-2.68,-10.98
10.5,12.85,-11.36,1.95
10.6,4.47,-10.82,5.35
10.7,-1.8,-1.76,3.21
10.8,2.26,-0.23,0.38
10.9,13.12,-9.79,4.7
11,6.54,-4.05,0.88
11.1,0.27,1.53,-2.49
11.2,-2.45,0.61,-14.88
11.3,0.38,-5.2,-10.75
11.4,6.39,-15.22,5.39
11.5,-0.99,-4.17,4.47
11.6,1.61,-0.96,2.267823
12.3,-3.29,-4.47,2.18
12.4,1.03,-0.04,1.22
12.5,19.51,-7.08,5.32
12.6,4.97,-9.48,4.25
12.7,-0.15,4.55,-0.08
12.8,-1.87,-5.12,8.61
12.9,-1.76,-7.38,-12.97
13,2.72,-19.51,0.61
13.1,-2.56,-6.58,4.25
13.2,-0.08,-0.04,-0.61
13.3,17.98,-17.94,6.39
13.4,4.02,-14.34,7.65
13.5,0.27,4.67,1.03
