NAME: ,walk_5_1,,
EXPERIMENT TIME: ,Mon May 23 16:20:53 GMT+03:00 2022,,
ACTIVITY TYPE: ,Walk,,
COUNT OF ACTUAL STEPS: ,103,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,1.07,-9.83,-1.3
0.1,0.69,-9.87,-1.26
0.2,0.88,-6.96,-1.99
0.3,2.52,-16.25,0.92
0.4,1.15,-8.07,1.8
0.5,1.91,-7.96,0.73
0.6,0.57,-8.99,1.64
0.7,0.8,-8.53,1.49
0.8,4.4,-12.32,2.22
0.9,2.68,-9.87,1.03
1,1.72,-10.67,-3.1
1.1,1.95,-7.73,-2.18
1.2,0.92,-8.07,-1.99
1.3,-0.04,-8.95,-0.88
1.4,0.99,-8.3,-2.1
1.5,-1.53,-12.54,-2.33
1.6,3.37,-12.2,-4.28
1.7,3.98,-11.36,-2.98
1.8,1.49,-6.69,-1.22
1.9,0.96,-4.97,-0.73
2,0.04,-9.22,-0.34
2.1,-2.98,-11.67,6.35
2.2,7.38,-5.2,-1.11
2.3,2.75,-9.29,-1.87
2.4,1.07,-7.11,-2.94
2.5,0.54,-7.34,-0.92
2.6,-0.5,-12.28,-2.29
2.7,1.61,-12.51,-3.17
2.8,5.16,-9.79,-4.55
2.9,2.83,-11.74,-1.87
3,1.3,-6.35,-0.92
3.1,0.65,-4.25,-0.04
3.2,0.46,-14.53,3.06
3.3,10.06,-16.18,-4.36
3.4,1.72,-12.62,-1.576501
4.1,1.3,-7.15,-2.52
4.2,0.99,-4.36,-0.57
4.3,0.54,-8.8,3.14
4.4,-1.15,-13.27,3.86
4.5,6.27,-3.56,-1.34
4.6,2.26,-7.96,-2.22
4.7,1.64,-7.11,-3.21
4.8,-0.57,-5.66,-1.42
4.9,0.73,-11.78,-1.49
5,0.27,-13.73,-4.17
5.1,2.45,-12.81,-3.6
5.2,1.84,-8.26,-2.33
5.3,0.27,-3.67,-1.95
5.4,1.22,-6.88,3.02
5.5,-1.03,-14,6.73
5.6,5.39,-4.55,-0.99
5.7,1.68,-10.06,-1.49
5.8,1.19,-6.77,-2.37
5.9,0.76,-7.04,-1.45
6,1.07,-10.1,-1.91
6.1,-0.8,-13.88,-3.25
6.2,4.63,-11.59,-4.78
6.3,2.56,-11.05,-1.8
6.4,1.3,-4.86,-1.22
6.5,0.46,-5.74,2.18
6.6,1.3,-16.56,5.62
6.7,4.82,-16.75,-6.81
6.8,1.45,-19.51,-4.36
6.9,1.84,-6.35,-2.37
7,0.04,-6.88,-1.53
7.1,1.49,-8.34,-1.76
7.2,-2.26,-13.04,-1.19
7.3,5.28,-12.89,-4.44
7.4,3.06,-12.01,-4.02
7.5,1.11,-5.32,-2.07
7.6,1.11,-3.67,0
7.7,1.72,-13.81,0.99
7.8,1.26,-12.58,-0.92
7.9,0.15,-2.45,-2.33
8,0.19,-7.92,-1.45
8.1,1.38,-8.26,-1.95
8.2,-0.46,-8.22,-1.64
8.3,-0.19,-12.16,-0.42
8.4,2.91,-11.47,-3.1
8.5,2.41,-13.5,-2.41
8.6,1.03,-7.76,-1.72
8.7,0.69,-4.13,-0.99
8.8,0.57,-10.21,-0.42
8.9,0.38,-10.86,3.82
9,2.91,-3.63,0
9.1,2.6,-9.79,-3.986558
9.8,0.96,-5.01,-1.95
9.9,1.53,-5.2,1.07
10,1.57,-15.37,4.25
10.1,4.63,-13.85,-0.31
10.2,2.37,-14.95,-3.86
10.3,1.11,-8.64,-2.56
10.4,0.23,-7.88,-1.57
10.5,0.38,-10.71,-1.42
10.6,-1.03,-12.93,-1.45
10.7,4.13,-10.36,-3.9
10.8,2.75,-11.89,-2.79
10.9,1.26,-6.54,-2.22
11,0.34,-4.74,0.27
11.1,0.54,-11.86,-0.76
11.2,2.14,-10.71,2.98
11.3,1.8,-1.42,-1.72
11.4,0.46,-9.52,-2.52
11.5,0.99,-7.04,-2.87
11.6,0,-5.93,-2.1
11.7,-0.65,-11.93,-1.61
11.8,1.45,-13.88,-5.05
11.9,3.02,-11.21,-3.82
12,1.64,-8.83,-2.33
12.1,0.65,-4.59,-1.61
12.2,1.57,-8.61,2.83
12.3,-4.05,-11.7,5.93
12.4,6.77,-6.35,-0.19
12.5,3.63,-8.87,-1.72
12.6,0.96,-7.99,-2.68
12.7,0.04,-6.73,-1.34
12.8,1.22,-10.29,-2.83
12.9,-1.19,-13.85,-4.02
13,3.9,-11.7,-3.98
13.1,2.37,-10.44,-2.83
13.2,0.76,-5.28,-1.68
13.3,0.69,-3.98,0.54
13.4,2.45,-17.36,5.12
13.5,4.82,-8.83,-1.64
13.6,3.52,-19.01,-4.13
13.7,1.3,-6.92,-2.29
13.8,0.42,-7.5,-1.84
13.9,0.96,-9.71,-2.1
14,-1.3,-12.28,-1.91
14.1,5.12,-11.05,-4.05
14.2,2.26,-12.54,-2.33
14.3,0.92,-5.97,-1.99
14.4,0.42,-4.4,0.27
14.5,1.03,-14.46,0.31
14.6,4.97,-13.92,-1.38
14.7,-0.34,-6.35,-3.6
14.8,1.76,-7.69,-1.646615
15.1,-0.19,-10.9,-0.65
15.2,2.87,-11.28,-3.216619
15.4,0.8,-6.62,-1.266621
15.7,2.87,-14.92,-3.1
15.8,1.03,-14.19,-3.94
15.9,1.22,-8.38,-1.49
16,0.73,-7.04,-2.106627
16.6,0.92,-4.9,0.8
16.7,3.4,-17.33,4.63
16.8,6.69,-8.8,0.23
16.9,1.84,-13.88,-2.226636
17.9,7.15,-8.53,0.46
18,1.22,-11.09,-2.1
18.1,0.73,-8.07,-2.75
18.2,-0.34,-8.53,-0.84
18.3,0.61,-10.25,-2.49
18.4,0.5,-14.04,-5.09
18.5,3.6,-12.16,-4.02
18.6,1.91,-9.45,-2.33
18.7,0.65,-4.28,-1.76
18.8,1.49,-6.69,2.37
18.9,-1.8,-14.27,7.27
19,7.38,-8.38,-0.54
19.1,3.14,-7.8,-2.1
19.2,1.26,-7.57,-2.87
19.3,-0.15,-7.8,-1.19
19.4,-0.19,-10.63,-2.03
19.5,2.6,-13.19,-4.59
19.6,2.26,-13.23,-3.48
19.7,1.22,-7.73,-2.52
19.8,0.61,-3.86,-1.11
19.9,1.11,-8.76,0.08
20,-0.23,-11.67,0.27
20.1,1.8,-5.78,-4.4
20.2,1.38,-7.65,-2.03
20.3,0.54,-7.53,-3.06
20.4,-0.57,-7.84,-1.3
20.5,-0.11,-10.94,-1.61
20.6,-0.27,-14.19,-4.47
20.7,3.71,-11.93,-3.79
20.8,1.34,-9.37,-1.42
20.9,0.69,-4.09,-1.84
21,1.45,-8.07,2.83
21.1,-1.34,-16.37,6.04
21.2,3.14,-2.91,-1.64
21.3,2.37,-5.78,-1.68
21.4,0.92,-7.88,-2.91
21.5,0,-9.6,-1.42
21.6,-1.07,-11.74,-0.84
21.7,3.71,-13.12,-4.32
21.8,2.41,-13.73,-2.83
21.9,1.91,-8.41,1.3
22,0.61,-4.05,-0.57
22.1,0.27,-8.26,-1.64
22.2,-0.61,-12.39,3.1
